song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,2018-12-29,45,0,45,1,1
Graveyard,Halsey,2019-09-28,45,0,45,1,1
Every Hour,Kanye West Featuring Sunday Service Choir,2019-11-09,45,0,45,1,1
No Excuses,Meghan Trainor,2018-03-17,46,0,46,1,1
Friends,J. Cole Featuring kiLL edward,2018-05-05,46,0,46,1,1
Once An Addict (Interlude),J. Cole,2018-05-05,47,0,47,1,1
Feel The Love,KIDS SEE GHOSTS,2018-06-23,47,0,47,1,1
Falling Down,Lil Peep & XXXTENTACION,2018-09-29,47,0,47,1,1
No Stylist,French Montana Featuring Drake,2018-10-06,47,0,47,1,1
First Off,Future Featuring Travis Scott,2019-02-02,47,0,47,1,1
Fast,Juice WRLD,2019-03-23,47,0,47,1,1
OFF THE RIP,DaBaby,2019-10-12,47,0,47,1,1
Happy Holiday / The Holiday Season,Andy Williams,2019-12-14,47,0,47,1,1
Flip The Switch,Quavo Featuring Drake,2018-10-27,48,0,48,1,1
Guardian Angel,XXXTENTACION,2018-12-22,48,0,48,1,1
Make Up,Ariana Grande,2019-02-23,48,0,48,1,1
Easier,5 Seconds Of Summer,2019-06-08,48,0,48,1,1
Found / Tonight,Lin-Manuel Miranda & Ben Platt,2018-03-31,49,0,49,1,1
Jingle Bells,Frank Sinatra,2019-01-05,49,0,49,1,1
Legacy,Offset Featuring Travis Scott & 21 Savage,2019-03-09,49,0,49,1,1
Miss Americana & The Heartbreak Prince,Taylor Swift,2019-09-07,49,0,49,1,1
I Don't Let Go,XXXTENTACION,2018-12-22,51,0,51,1,1
I Think,"Tyler, The Creator",2019-06-01,51,0,51,1,1
I Think He Knows,Taylor Swift,2019-09-07,51,0,51,1,1
La Modelo,Ozuna x Cardi B,2018-01-06,52,0,52,1,1
Notice Me,Migos Featuring Post Malone,2018-02-10,52,0,52,1,1
Look What God Gave Her,Thomas Rhett,2019-03-16,52,0,52,1,1
